Collector,Time,Max Diversity AS,Max Unique Paths,Max AS Prefixes,Highest Avg Diversity AS,Avg Unique Paths,Avg AS Prefixes
rrc03,2024-02-01 00:35,8283,22,3075,8283,3.68,3075
rrc04,2024-02-01 00:35,15547,13,3640,29222,2.41,4319
rrc05,2024-02-01 00:35,51184,19,3551,51184,3.82,3551
rrc06,2024-02-01 00:35,59105,15,2299,59105,2.98,2299
rrc07,2024-02-01 00:35,6667,13,5293,6667,2.54,5293
rrc10,2024-02-01 00:35,20811,15,3445,20811,3.31,3445
rrc11,2024-02-01 00:35,199524,11,2455,14061,2.97,2974
rrc13,2024-02-01 00:35,41722,15,3998,41722,2.91,3998
rrc14,2024-02-01 00:35,14061,11,6730,7575,2.42,2853
rrc20,2024-02-01 00:35,12307,25,3208,12307,4.14,3208
rrc21,2024-02-01 00:35,34019,16,4384,199524,3.2,2839
rrc22,2024-02-01 00:35,31554,8,6349,56430,2.18,4088
rrc23,2024-02-01 00:35,18106,16,2607,18106,3.82,2607
rrc24,2024-02-01 00:35,270014,17,3042,270014,3.61,3042
rrc25,2024-02-01 00:35,212123,28,6711,29049,3.76,4772
rrc26,2024-02-01 00:35,49544,12,3495,49544,2.72,3495
rrc00,2024-02-01 00:40,44393,27,10279,34927,4.04,4836
rrc01,2024-02-01 00:40,62167,19,3717,62167,3.58,3717
rrc03,2024-02-01 00:40,8283,23,3302,8283,3.69,3302
rrc04,2024-02-01 00:40,15547,13,3803,29222,2.45,4491
rrc05,2024-02-01 00:40,51184,19,3690,51184,3.83,3690
rrc06,2024-02-01 00:40,59105,15,2413,59105,2.98,2413
rrc07,2024-02-01 00:40,6667,13,5905,6667,2.46,5905
rrc10,2024-02-01 00:40,20811,15,3578,20811,3.36,3578
rrc11,2024-02-01 00:40,199524,11,2583,14061,2.98,3094
rrc13,2024-02-01 00:40,41722,15,4155,41722,2.92,4155
rrc14,2024-02-01 00:40,14061,12,6922,7575,2.54,2975
rrc20,2024-02-01 00:40,12307,25,3346,12307,4.2,3346
rrc21,2024-02-01 00:40,34019,16,4568,199524,3.24,2964
rrc22,2024-02-01 00:40,31554,8,6471,56430,2.12,4484
rrc23,2024-02-01 00:40,18106,16,2921,18106,3.67,2921
rrc24,2024-02-01 00:40,270014,17,3541,270014,3.39,3541
rrc25,2024-02-01 00:40,212123,28,6838,29049,3.82,4896
rrc26,2024-02-01 00:40,49544,12,3689,49544,2.75,3689
rrc00,2024-02-01 00:45,44393,30,12080,34927,3.47,6589
rrc01,2024-02-01 00:45,62167,19,5467,62167,2.96,5467
rrc03,2024-02-01 00:45,8283,23,5130,209650,2.93,4831
rrc04,2024-02-01 00:45,15547,14,5348,29222,2.24,6308
rrc05,2024-02-01 00:45,51184,19,5049,51184,3.29,5049
rrc06,2024-02-01 00:45,59105,16,4143,59105,2.29,4143
rrc07,2024-02-01 00:45,6667,14,7942,6667,2.21,7942
rrc10,2024-02-01 00:45,20811,15,4965,20811,2.86,4965
rrc11,2024-02-01 00:45,199524,11,3862,14061,2.48,4608
rrc13,2024-02-01 00:45,41722,15,5955,41722,2.56,5955
rrc14,2024-02-01 00:45,14061,12,8829,7575,2.11,4987
rrc20,2024-02-01 00:45,12307,25,4914,12307,3.46,4914
rrc21,2024-02-01 00:45,34019,16,6283,199524,2.97,3832
rrc22,2024-02-01 00:45,31554,8,8162,56430,1.97,5783
rrc23,2024-02-01 00:45,18106,18,4264,18106,3.01,4264
rrc24,2024-02-01 00:45,270014,17,4951,270014,2.85,4951
rrc25,2024-02-01 00:45,212123,28,8594,29049,3.55,5950
rrc26,2024-02-01 00:45,49544,12,4974,49544,2.54,4974
rrc00,2024-02-01 00:50,44393,30,14336,34927,3.22,8361
rrc01,2024-02-01 00:50,62167,21,7796,62167,2.65,7796
rrc03,2024-02-01 00:50,8283,23,5832,8283,2.9,5832
rrc04,2024-02-01 00:50,15547,14,7436,29222,2.19,7468
rrc05,2024-02-01 00:50,51184,19,5902,51184,3.14,5902
rrc06,2024-02-01 00:50,59105,17,5420,59105,2.16,5420
rrc07,2024-02-01 00:50,6667,14,9193,6667,2.2,9193
rrc10,2024-02-01 00:50,20811,15,6048,20811,2.68,6048
rrc11,2024-02-01 00:50,199524,11,4759,199524,2.42,4759
rrc13,2024-02-01 00:50,41722,15,7119,41722,2.64,7119
rrc14,2024-02-01 00:50,14061,12,9798,7575,2.03,6092
rrc20,2024-02-01 00:50,12307,25,6367,12307,3.21,6367
rrc21,2024-02-01 00:50,34019,16,8515,199524,2.74,5034
rrc22,2024-02-01 00:50,31554,8,9676,56430,1.88,7609
rrc23,2024-02-01 00:50,18106,18,6508,4775,2.67,3
rrc24,2024-02-01 00:50,270014,17,6031,270014,2.72,6031
rrc25,2024-02-01 00:50,212123,29,10373,29049,3.38,7179
rrc26,2024-02-01 00:50,49544,12,6099,49544,2.5,6099
rrc00,2024-02-01 00:55,44393,33,24445,34927,3.33,8468
rrc01,2024-02-01 00:55,62167,24,7885,62167,2.77,7885
rrc03,2024-02-01 00:55,8283,23,5918,8283,3.02,5918
rrc04,2024-02-01 00:55,15547,14,7527,29222,2.25,7559
rrc05,2024-02-01 00:55,51184,20,6001,51184,3.27,6001
rrc06,2024-02-01 00:55,59105,17,5513,59105,2.21,5513
rrc07,2024-02-01 00:55,6667,14,9281,6667,2.26,9281
rrc10,2024-02-01 00:55,20811,15,6143,20811,2.78,6143
rrc11,2024-02-01 00:55,14061,12,5689,199524,2.51,4844
rrc13,2024-02-01 00:55,41722,15,7218,41722,2.73,7218
rrc14,2024-02-01 00:55,14061,12,9887,7575,2.06,6205
rrc20,2024-02-01 00:55,12307,25,6465,12307,3.34,6465
rrc21,2024-02-01 00:55,34019,16,8610,199524,2.81,5117
rrc22,2024-02-01 00:55,31554,8,9779,56430,1.92,7692
rrc23,2024-02-01 00:55,18106,19,6607,4775,2.67,3
rrc24,2024-02-01 00:55,270014,18,6119,270014,2.81,6119
rrc25,2024-02-01 00:55,212123,32,10508,29049,3.46,7283
rrc26,2024-02-01 00:55,49544,12,6192,49544,2.6,6192
rrc00,2024-02-01 01:00,44393,33,104000,34927,3.15,9492
rrc01,2024-02-01 01:00,62167,24,8054,62167,2.8,8054
rrc03,2024-02-01 01:00,8283,24,6960,8283,2.84,6960
rrc04,2024-02-01 01:00,15547,14,7988,29222,2.25,7833
rrc05,2024-02-01 01:00,51184,20,6755,51184,3.13,6755
rrc06,2024-02-01 01:00,59105,17,5742,25152,2.22,6541
rrc07,2024-02-01 01:00,6667,14,9525,6667,2.27,9525
rrc10,2024-02-01 01:00,20811,15,6441,20811,2.75,6441
rrc11,2024-02-01 01:00,14061,12,5816,199524,2.54,4956
rrc13,2024-02-01 01:00,41722,15,7967,41722,2.63,7967
rrc14,2024-02-01 01:00,14061,12,13770,7575,2.08,6276
rrc20,2024-02-01 01:00,12307,26,6866,12307,3.29,6866
rrc21,2024-02-01 01:00,34019,16,8989,199524,2.83,5190
rrc22,2024-02-01 01:00,31554,8,10102,56430,1.9,8115
rrc23,2024-02-01 01:00,18106,19,6872,4775,2.67,3
rrc24,2024-02-01 01:00,270014,19,6250,270014,2.83,6250
rrc25,2024-02-01 01:00,212123,33,10857,29049,3.38,7791
rrc26,2024-02-01 01:00,49544,12,11410,200612,2.23,7547
rrc00,2024-02-01 01:05,44393,33,105145,202365,3.2,11627
rrc01,2024-02-01 01:05,62167,24,8288,62167,2.78,8288
rrc03,2024-02-01 01:05,8283,25,7026,8283,2.95,7026
rrc04,2024-02-01 01:05,15547,14,8051,29222,2.26,7886
rrc05,2024-02-01 01:05,51184,20,6812,51184,3.16,6812
rrc06,2024-02-01 01:05,59105,17,5785,25152,2.24,6570
rrc07,2024-02-01 01:05,6667,14,9551,6667,2.28,9551
rrc10,2024-02-01 01:05,20811,15,7951,20811,2.46,7951
rrc11,2024-02-01 01:05,14061,12,5844,199524,2.56,4978
rrc13,2024-02-01 01:05,41722,15,8028,41722,2.67,8028
rrc14,2024-02-01 01:05,14061,12,13794,7575,1.99,9965
rrc20,2024-02-01 01:05,12307,26,6901,12307,3.37,6901
rrc21,2024-02-01 01:05,2027,17,17297,199524,2.85,5211
rrc22,2024-02-01 01:05,31554,8,10214,56430,1.91,8146
rrc23,2024-02-01 01:05,18106,19,11965,4775,2.0,5
rrc24,2024-02-01 01:05,270014,20,6266,270014,2.9,6266
rrc25,2024-02-01 01:05,212123,35,10967,29049,3.43,7841
rrc26,2024-02-01 01:05,49544,12,11638,200612,2.25,7674
rrc00,2024-02-01 01:10,44393,33,105258,202365,3.23,11842
rrc01,2024-02-01 01:10,62167,24,8371,62167,2.81,8371
rrc03,2024-02-01 01:10,8283,26,7829,8283,2.82,7829
