AS1,AS2,Prefix
START,3333,5.254.94.0/24
3333,8218,5.254.94.0/24
8218,3223,5.254.94.0/24
START,3333,92.114.32.0/24
3333,8218,92.114.32.0/24
8218,3223,92.114.32.0/24
START,3333,89.40.233.0/24
3333,8218,89.40.233.0/24
8218,3223,89.40.233.0/24
START,3333,37.221.170.0/24
3333,8218,37.221.170.0/24
8218,3223,37.221.170.0/24
START,3333,103.249.70.0/24
3333,8218,103.249.70.0/24
8218,3223,103.249.70.0/24
START,3333,185.96.160.0/24
3333,8218,185.96.160.0/24
8218,3223,185.96.160.0/24
START,3333,188.213.22.0/24
3333,8218,188.213.22.0/24
8218,3223,188.213.22.0/24
START,3333,128.0.47.0/24
3333,8218,128.0.47.0/24
8218,3223,128.0.47.0/24
START,3333,188.215.36.0/24
3333,8218,188.215.36.0/24
8218,3223,188.215.36.0/24
START,3333,93.120.36.0/22
3333,8218,93.120.36.0/22
8218,3223,93.120.36.0/22
START,3333,188.214.104.0/24
3333,8218,188.214.104.0/24
8218,3223,188.214.104.0/24
START,3333,188.213.212.0/24
3333,8218,188.213.212.0/24
8218,3223,188.213.212.0/24
START,3333,93.115.210.0/24
3333,8218,93.115.210.0/24
8218,3223,93.115.210.0/24
START,3333,94.176.131.0/24
3333,8218,94.176.131.0/24
8218,3223,94.176.131.0/24
START,3333,185.92.192.0/24
3333,8218,185.92.192.0/24
8218,3223,185.92.192.0/24
START,3333,128.0.46.0/24
3333,8218,128.0.46.0/24
8218,3223,128.0.46.0/24
START,3333,185.72.176.0/24
3333,8218,185.72.176.0/24
8218,3223,185.72.176.0/24
START,3333,185.96.161.0/24
3333,8218,185.96.161.0/24
8218,3223,185.96.161.0/24
START,3333,188.213.19.0/24
3333,8218,188.213.19.0/24
8218,3223,188.213.19.0/24
START,3333,188.214.105.0/24
3333,8218,188.214.105.0/24
8218,3223,188.214.105.0/24
START,3333,188.213.216.0/24
3333,8218,188.213.216.0/24
8218,3223,188.213.216.0/24
START,8758,85.133.204.0/22
8758,6830,85.133.204.0/22
6830,3491,85.133.204.0/22
3491,12880,85.133.204.0/22
12880,44285,85.133.204.0/22
44285,21341,85.133.204.0/22
21341,39074,85.133.204.0/22
START,8758,85.133.172.0/22
8758,6830,85.133.172.0/22
6830,3491,85.133.172.0/22
3491,12880,85.133.172.0/22
12880,44285,85.133.172.0/22
44285,21341,85.133.172.0/22
21341,39074,85.133.172.0/22
START,8758,85.133.236.0/22
8758,6830,85.133.236.0/22
6830,3491,85.133.236.0/22
3491,12880,85.133.236.0/22
12880,44285,85.133.236.0/22
44285,21341,85.133.236.0/22
21341,39074,85.133.236.0/22
START,1836,85.133.172.0/22
1836,3356,85.133.172.0/22
3356,3491,85.133.172.0/22
3491,12880,85.133.172.0/22
12880,44285,85.133.172.0/22
44285,21341,85.133.172.0/22
21341,39074,85.133.172.0/22
START,1836,85.133.236.0/22
1836,3356,85.133.236.0/22
3356,3491,85.133.236.0/22
3491,12880,85.133.236.0/22
12880,44285,85.133.236.0/22
44285,21341,85.133.236.0/22
21341,39074,85.133.236.0/22
START,1836,85.133.164.0/22
1836,3356,85.133.164.0/22
3356,3491,85.133.164.0/22
3491,12880,85.133.164.0/22
12880,44285,85.133.164.0/22
44285,21341,85.133.164.0/22
21341,39074,85.133.164.0/22
START,3333,185.84.160.0/22
3333,1103,185.84.160.0/22
1103,29049,185.84.160.0/22
29049,12880,185.84.160.0/22
12880,43343,185.84.160.0/22
43343,57235,185.84.160.0/22
START,3333,5.254.86.0/24
3333,8218,5.254.86.0/24
8218,3223,5.254.86.0/24
START,3333,198.251.87.0/24
3333,8218,198.251.87.0/24
8218,3223,198.251.87.0/24
START,3333,5.254.87.0/24
3333,8218,5.254.87.0/24
8218,3223,5.254.87.0/24
START,3333,209.141.38.0/24
3333,8218,209.141.38.0/24
8218,3223,209.141.38.0/24
START,3333,198.251.80.0/24
3333,8218,198.251.80.0/24
8218,3223,198.251.80.0/24
START,3333,209.141.39.0/24
3333,8218,209.141.39.0/24
8218,3223,209.141.39.0/24
START,3333,162.245.0.0/22
3333,8218,162.245.0.0/22
8218,3223,162.245.0.0/22
START,7018,81.31.224.0/19
7018,2914,81.31.224.0/19
2914,29049,81.31.224.0/19
29049,12880,81.31.224.0/19
12880,43343,81.31.224.0/19
43343,57235,81.31.224.0/19
START,9304,81.31.224.0/19
9304,29049,81.31.224.0/19
29049,12880,81.31.224.0/19
12880,43343,81.31.224.0/19
43343,57235,81.31.224.0/19
START,1836,216.149.80.0/20
1836,3356,216.149.80.0/20
3356,2828,216.149.80.0/20
2828,7014,216.149.80.0/20
START,1836,216.149.64.0/21
1836,3356,216.149.64.0/21
3356,2828,216.149.64.0/21
2828,7014,216.149.64.0/21
START,1836,207.87.128.0/19
1836,3356,207.87.128.0/19
3356,2828,207.87.128.0/19
2828,7014,207.87.128.0/19
START,1836,216.149.224.0/19
1836,3356,216.149.224.0/19
3356,2828,216.149.224.0/19
2828,7014,216.149.224.0/19
START,1836,209.31.244.0/22
1836,3356,209.31.244.0/22
3356,2828,209.31.244.0/22
2828,7014,209.31.244.0/22
START,1836,216.149.72.0/22
1836,3356,216.149.72.0/22
3356,2828,216.149.72.0/22
2828,7014,216.149.72.0/22
START,1836,65.44.0.0/18
1836,3356,65.44.0.0/18
3356,2828,65.44.0.0/18
2828,7014,65.44.0.0/18
START,1836,216.149.96.0/19
1836,3356,216.149.96.0/19
3356,2828,216.149.96.0/19
2828,7014,216.149.96.0/19
START,1836,216.30.64.0/20
1836,3356,216.30.64.0/20
3356,2828,216.30.64.0/20
2828,7014,216.30.64.0/20
START,1836,216.5.240.0/20
1836,3356,216.5.240.0/20
3356,2828,216.5.240.0/20
2828,7014,216.5.240.0/20
START,3333,216.149.72.0/22
3333,1103,216.149.72.0/22
1103,3257,216.149.72.0/22
3257,2828,216.149.72.0/22
2828,7014,216.149.72.0/22
START,3333,216.149.80.0/20
3333,1103,216.149.80.0/20
1103,3257,216.149.80.0/20
3257,2828,216.149.80.0/20
2828,7014,216.149.80.0/20
START,3333,207.87.128.0/19
3333,1103,207.87.128.0/19
1103,3257,207.87.128.0/19
3257,2828,207.87.128.0/19
2828,7014,207.87.128.0/19
START,3333,216.149.224.0/19
3333,1103,216.149.224.0/19
1103,3257,216.149.224.0/19
3257,2828,216.149.224.0/19
2828,7014,216.149.224.0/19
START,3333,209.31.244.0/22
3333,1103,209.31.244.0/22
1103,3257,209.31.244.0/22
3257,2828,209.31.244.0/22
2828,7014,209.31.244.0/22
START,3333,216.149.0.0/18
3333,1103,216.149.0.0/18
1103,3257,216.149.0.0/18
3257,2828,216.149.0.0/18
2828,7014,216.149.0.0/18
START,3333,216.149.96.0/19
3333,1103,216.149.96.0/19
1103,3257,216.149.96.0/19
3257,2828,216.149.96.0/19
